NAME,STREET,NO,CITY,COUNTY,SOCIAL_SERVICE,TYPE,CATEGORY,CAPACITY,EMAIL,PHONE
Filiala Filantropia Ortodoxă Vingrad,Principală,50,Șpring,Alba,Casa de tip familial Sfântul Apostol Andrei Vingrad,1,"b1.3, b1.4, b2.1",14,,0258-766-009
Asociaţia Pro Act Suport,Tufa,116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B116 B,Mihăilești,Giurgiu,Centrul pilot pentru incluziune socială Casa Tufa ,1,"B2, B3",6,office@proactsuport.ro,0314-255-976
Asociaţia Pro Act Suport,Baba  Novac,142,Mihăilești,Giurgiu,Centrul pilot pentru incluziune socială Casa Mihail,1,"b2, b3",7,office@proactsuport.ro,0314-255-976
Asociaţia Pro Act Suport,Primăverii,86D,Joița,Giurgiu,Centrul pilot pentru incluziune socială Casa Metamorfoze,1,"B2, B3",6,office@proactsuport.ro,0314-255-976
Asociaţia Centrul Creştin Social de Noapte Sighişoara,Târnavei,47,Sighişoara,Mureş,Adăpost de noapte,10,"B2.2, B3, B4",16,,0265-771-120
Asociaţia Naţională a Surzilor din România - Filiala Bacău,Apusului,11,Bacău,Bacău,Centrul de zi pentru persoane cu deficiențe de auz,4,"B2, B3, B4, B5",50,ansrbacau@yahoo.com,0234-522-175
Societatea de Ajutorare Diakonia,George Coşbuc,20,Alba Iulia   ,Alba,Cămin pentru persoane vârstnice casa Filadelfia Alba Iulia,1,"b3, b4",16,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,Horea,25,Alba Iulia   ,Alba,Cămin pentru persoane vârstnice casa Iope Alba Iulia,1,"b3, b4",8,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,Ioan Rațiu,18,Alba Iulia   ,Alba,Centrul de recuperare și reabilitare pentru persoane cu handicap Betesda - casa Ararat,1,"b2, b3",14,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,Tudor Vladimirescu,69A,Alba Iulia   ,Alba,Centrul de recuperare și reabilitare pentru persoane cu handicap Betesda - casa Elim,1,"b2, b3",18,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,Horea,23,Alba Iulia   ,Alba,Centrul de recuperare și reabilitare pentru persoane cu handicap Betesda - casa Betania,1,"b2, b3",18,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,Zlatnei,71,Alba Iulia   ,Alba,Centrul de zi Sfântul Iosif pentru persoane cu handicap,4,"b2, b3",30,diaconia@alba.rdsmail.ro,0358-401-201
Societatea de Ajutorare Diakonia,,95,Cenade,Alba,Cămin de bătrâni Petru și Pavel,1,"b3, b4",30,,0358-401-201
Serviciul Public de Asistenţă Socială Curtea de Argeş, 1 Decembrie 1918,2B ,Curtea de Argeş,Argeş,Centrul de zi Sfântul Justinian,4,"b3, b4",10,primariacurteadearges@yahoo.com,0248-721-033
Serviciul Public de Asistenţă Socială Curtea de Argeş, 1 Decembrie 1918,2B ,Curtea de Argeş,Argeş,Centrul de consiliere socio-educativă Acces,4,b1,19,primariacurteadearges@yahoo.com,0248-721-033
Serviciul Public de Asistenţă Socială Curtea de Argeş,Basarabilor,28A,Curtea de Argeş,Argeş,Centrul de zi pentru recreere pensionari,4,B4,30,primariacurteadearges@yahoo.com,0248-721-033
Asociaţia Aşezământul Sfântul Nicolae,Runcu,814 C,Brebu,Prahova,Centrul de îngrijire persoane vârstnice,1,b4,,vcristianrazvan@yahoo.com,0734-626-922
Asociaţia Another Chance,TudorVladimirescu,87,Podu Turcului,Bacău,Casa de tip familial pentru copii,1,"b1, b2",20,,
Asociaţia Another Chance,TudorVladimirescu,87,Podu Turcului,Bacău,Casa de tip familial pentru copiii cu handicap,1,"b1, b2",8,,
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud, 1 Decembrie 1918,65,Beclean,Bistriţa Năsăud,Centrul de recuperare și reabilitare neuropsihiatrică Sfântul Luca Beclean,2,"b3, b4",60,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud,Vasile Nașcu,47,Năsăud,Bistriţa Năsăud,Centrul de recuperare de zi pentru copii cu dizabilități - centrul pentru protecția copilului Năsăud,4,b1,80,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud,Vasile Nașcu,47,Năsăud,Bistriţa Năsăud,Centrul de plasamet de tip familial din cadrul centrului pentru protecția copilului Năsăud,1,,70,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud, 1 Decembrie 1918,65,Beclean,Bistriţa Năsăud,Centrul de recuperare și reabilitare neuropsihiatrică pentru tineri cu handicap Beclean,1,"b2, b3",80,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud, 1 Decembrie 1918,65,Beclean,Bistriţa Năsăud,Centrul de recuperare și reabilitare neuropsihiatrică pentru adulți cu Alzheimer Beclean,2,"b3, b4",80,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud,,241,Nușeni,Bistriţa Năsăud,Centrul de îngrijire și asistență pentru persoane cu handicap,1,"b2, b3, b5",50,dgaspcbn@dasbn.ro,0263/232384
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bistriţa Năsăud,,241,Nușeni,Bistriţa Năsăud,Cămin pentru persoane vârstnice,1,b4,50,dgaspcbn@dasbn.ro,0263/232384
Unitatea de Asistenţă Medico Socială Susenii Bârgăului,Principală,394,Prundu Bârgăului,Bistriţa Năsăud,Unitatea de Asistenţă Medico Socială Susenii Bârgăului,9,"b2, b3, b4",60,,
Fundaţia Copii în Dificultate,Radu de la Afumati,16,București,Bucureşti,Centrul specializat pentru copii cu dizabilități profunde Sfânta Margareta,1,b1,20,alexandra@cid.org.ro, 0729-729-680
Fundaţia Copii în Dificultate,Radu de la Afumati,16,București,Bucureşti,Centrul de asistență și sprijin pentru readaptarea copiilor cu probleme psihosociale,4,"B1.2, B1.3",45,alexandra@cid.org.ro, 0729-729-680
Asociaţia Delta Braşov,Ion Raţiu,2,Braşov,Braşov,Centrul persoane vârstnice,4,B4,30,office@deltabrasov.ro, 076659278
Asociaţia de Asistenţă Socială Episcop Nicolae Popovici,Principală,203,Băiţa,Bihor,Cămin pentru persoane vârstnice,1,"b3, b4",40,,0742- 544- 460
Fundaţia Victorine Le Dieu,Mărăşeşti,60,Oneşti,Bacău,Centrul rezidențial pentru copii Casa Buna Vestire Onești,1,"B1.2, B1.3, B1.4, B2.1",33,vicledieuromania@gmail.com,0234-319-887
Asociaţia Creştină de Caritate Misiune şi Ajutor Olanda România Betania,Nordului,19 bis,Bacău,Bacău,Centrul de zi Betania pentru persoane adulte cu dizabilități,4,"B2, B3",10,office@asociatiabetania.ro,0234-206-016 
Asociaţia Creştină de Caritate Misiune şi Ajutor Olanda România Betania,Nordului,19,Bacău,Bacău,Centrul Delfinul pentru copii cu autism,4,"B1.1, B1.2, B1.3",35,office@asociatiabetania.ro,0234-206-016 
Asociaţia Creştină de Caritate Misiune şi Ajutor Olanda România Betania,Nordului,19 bis,Bacău,Bacău,Centrul de integrare a tinerilor,2,B2.1,22,office@asociatiabetania.ro,0234-206-016 
Asociaţia Creştină de Caritate Misiune şi Ajutor Olanda România Betania,Nordului,19 bis,Bacău,Bacău,"Centrul de consiliere, informare și sprijin pentru familiile aflate în dificultate",6,"B1, B2, B3, B4, B5, B6, B7",60,office@asociatiabetania.ro,0234-206-016 
Primăria Comunei Zădăreni,,850,Zădăreni,Arad,Cămin de bătrâni Zădăreni,1,B4,20,primariazadareni@yahoo.com,0257-413-024
Asociaţia Filiala Filantropia Ortodoxă Sebeş,Mihail Kogălniceanu,166 C,Sebeş,Alba,Serviciul socio medical de îngrijire la domiciliu a persoanelor cu handicap,5,"b2, b3",10,,0742- 019- 475
Serviciul Public de Asistenţă Socială Brusturoasa,Hângănești,,Brusturoasa,Bacău,Centrul de zi pentru copii Sfântul Stelian,4,"b1.3, b5",30,primariabrusturoasa@yahoo.com,0234-381-090
Primăria Comunei Crețeni,,,Crețeni,Vâlcea,"Centrul de zi din cadrul Centrului multifuncțional de servicii sociale Crețeni, jud. Vâlcea",4,"b4, b5",,primariacreteni@yahoo.com,0250-772-922
Primăria Comunei Crețeni - Compartimentul de Asistenţă Socială,,,Crețeni,Vâlcea,"Centrul multifuncțional de servicii sociale Crețeni, județul Vâlcea - Cantina socială ",7,"b4, b5",,primariacreteni@yahoo.com,0250-772-922
Primăria Comunei Crețeni,Principală,136,Crețeni,Vâlcea,Centrul de zi pentru copii Crețeni,4,B1.3,15,primariacreteni@yahoo.com,0250-772-922
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Unirii,76,Pogoanele,Buzău,Centrul de asistență medico socială Pogoanele,9,B4,75,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Nicolae Bălcescu,40,Buzău,Buzău,Centrul de zi pentru copii cu dizabilități Dumbrava minunată Buzău,4,"B1.2, B1.3",70,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Horticolei,56,Buzău,Buzău,Centrul rezidențial pentru copilul cu handicap nr. 9 Buzău,1,"B1.3, B1.4, B2.1",110,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Horticolei,52,Buzău,Buzău,Centrul rezidențial pentru copilul cu deficiențe de auz nr. 10 Buzău,2,"B1.3, B1.4, B2.1",80,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Simila,19,Buzău,Buzău,Centrul de respiro din cadrul Complexului de servicii comunitare nr. 2 Buzău,2,"b2, b3",12,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Privighetorilor,3,Râmnicu Sărat,Buzău,Centrul rezidențial de tip familial Ileana Cosânzeana din cadrul Complexului de servicii pentru copilul cu handicap nr. 14 Râmnicu Sărat,2,b1,18,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Privighetorilor,3,Râmnicu Sărat,Buzău,Centrul de recuperare pentru copilul cu dizabilități din cadrul Complexului de servicii pentru copilul cu handicap nr. 14 Râmnicu Sărat,4,b1,80,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Privighetorilor,3,Râmnicu Sărat,Buzău,Centrul rezidențial de tip familial Prâslea cel Voinic din cadrul Complexului de servicii pentru copilul cu handicap nr. 14 Râmnicu Sărat,2,b1,18,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Principală,991,Smeeni,Buzău,Cămin pentru persoane vârstnice Smeeni,2,B4,45,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Păun Pincio,13,Râmnicu Sărat,Buzău,Cămin pentru persoane vârstnice Alecu Bagdat Râmnicu Sărat,1,B4,75,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Principală,1081,Stâlpu,Buzău,Centrul de recuperare și reabilitare pentru persoane adulte cu handicap Stâlpu,1,"B2, B3, B4",56,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Privighetorilor,1,Râmnicu Sărat,Buzău,Centrul pentru recuperarea și reabilitarea persoanelor adulte cu handicap Râmnicu Sărat,1,"B2, B3",55,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Mihail Kogălniceanu,16B ,Râmnicu Sărat,Buzău,Locuință protejată 1 din cadrul centrului de integrare prin terapie ocupațională Râmnicu Sărat,3,"B2.2, B3",6,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Pieței,3D,Râmnicu Sărat,Buzău,Locuință protejată 2 din cadrul centrului de integrare prin terapie ocupațională Râmnicu Sărat,3,"B2.2, B3",6,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Industriei,2,Râmnicu Sărat,Buzău,Centrul de integrare prin terapie ocupațională din cadrul centrului de integrare prin terapie ocupațională Râmnicu Sărat,1,"B2, B3",120,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Costieni,20,Râmnicu Sărat,Buzău,Locuință minim protejată 3 din cadrul centrului de integrare prin terapie ocupațională Râmnicu Sărat,3,"B2.2, B3",6,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Industriei,2,Râmnicu Sărat,Buzău,Centrul pt. recuperare și reabilitare pt. persoane adulte cu handicap din cadrul centrului de integrare prin terapie ocupațională Râmnicu Sărat,1,B2.1,40,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Horticolei,56,Buzău,Buzău,Centrul rezidențial Floare de Colț din cadrul Complexului de servicii pentru copilul cu dizabilități Buzău,1,"B1.2, B1.3, B1.4",20,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Obor,3,Buzău,Buzău,Centrul maternal - Complexul de servicii comunitare nr. 3,2,"B1.1, B2, B3, B5",10,srusbuzau@gmail.com,0238-711-051
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Buzău,Obor,3,Beceni,Buzău,Centrul de primire a copilului în regim de urgență - Complexul de servicii comunitare nr. 3,2,B1,30,srusbuzau@gmail.com,0238-711-051
Primăria Comunei Măgireşti - Serviciul Public de Asistenţă Socială,Arinilor,,Măgireşti,Bacău,Cămin de îngrijire bătrâni,2,b4,20,spasbacau@gmail.ro,0234-581-643
Unitatea de Asistenţă Medico Socială Mihăileni,Siretului,1,Mihăileni,Botoşani,Unitatea de Asistenţă Medico Socială,9,B4,24,dgaspcbt@yahoo.com,0231-625-104
Unitatea de Asistenţă Medico Socială Suharău,,,Suharău,Botoşani,Unitatea de Asistenţă Medico Socială,9,"B3, B4",24,dgaspcbt@yahoo.com,0231-537-993
Asociaţia Ortodoxă Filantropia Berca,,,Pârscov,Buzău,Centrul rezidențial persoane vârstnice Pârscov,1,b4,16,filantropiaberca@gmail.com,0238-526-294
Asociaţia Ortodoxă Filantropia Berca,Florilor,40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B40 B,Berca,Buzău,Cămin de bătrâni Filantropia Berca,1,B4,76,filantropiaberca@gmail.com,0238-526-294
Asociaţia Ortodoxă Filantropia Berca,Braşovului,183,Berca,Buzău,Centrul rezidențial pentru copii Sfânta Maria Sătuc,1,B1.3,15,filantropiaberca@gmail.com,0238-526-294
Asociația Filiala Filantropia Ortodoxă Ocna Mureş,Nicolae Iorga,29 A,Ocna Mureş,Alba,Serviciul socio medical de îngrijire la domiciliu pentru persoane vârstnice Ocna Mureş,5,b4,25,seniorinet@caritas.org.ro,0371-185-226
Asociația Filiala Filantropia Ortodoxă Ocna Mureş,Nicolae Iorga,29 A,Ocna Mureş,Alba,Centrul de zi Sfântul Mucenic Ciprian Ocna Mureș,4,b1.3,25,seniorinet@caritas.org.ro,0371-185-226
Asociația Filiala Filantropia Ortodoxă Ocna Mureş,Nicolae Iorga,29 A,Ocna Mureş,Alba,Casa de tip familial Sfântul Mucenic Ciprian Ocna Mureș,2,"b1.3, b1.4, b2.1",14,seniorinet@caritas.org.ro,0371-185-226
Primăria Comunei Şagu,,,Şagu,Arad,Cămin de bătrâni Cruceni,1,B4,20,"primariasagu@inext.ro, vancea_miha@yahoo.com",0257-418-101
Fundaţia Casa de Tip Familial Villa Kunterbunt,Ciocârliei,10,Sâncrai,Alba,Casa de Tip Familial Villa Kunterbunt Sâncrai,2,"b1, b2",6,,0258-866-021
Asociaţia Casa Anisia,Principală,202A,Ciugud,Alba,Cămin pentru persoane vârstnice Casa Anisia,1,B4,35,casaanisia@gmail.com,0258-841-005
Asociaţia Centrul Iochebed,Transilvaniei,11,Alba Iulia   ,Alba,Centrul de informare și consiliere (pre și post avort),6,"B1.4, B2, B3, B5, B6, B7",,centruliochebed@gmail.com,0358-401-487 
Asociaţia As 2001 Alba Iulia   ,Principală,326,Berghin,Alba,"Centrul de îngrijire la domiciliu Berghin, județul Alba",5,B4,20,office@as2001alba.ro,0258-814-227 
Asociaţia As 2001 Alba Iulia   ,Principală,96A,Păuca,Sibiu,Centrul de îngrijire la domiciliu Păuca,5,B4,35,office@as2001alba.ro,0258-814-227 
Asociaţia As 2001 Alba Iulia   ,Principală,1,Râmeț,Alba,Centrul de îngrijire la domiciliu Râmeț,5,B4,30,office@as2001alba.ro,0258-814-227 
Asociaţia Creştină Sfinţii Ion şi Ecaterina,Ioniță Vornicul,4,București,Bucureşti,Cămin de bătrâni,1,"b3, b4",30,,0730-011 302
Primăria oraşului Negreşti Oaş,Decebal aleea Crinului,3,Negrești Oaș,Satu Mare,Centrul social pentru vârstnici - centrul de zi,4,B4,100,primarie@negresti-oas.ro,0261-854-845
Primăria Oraşului Negreşti Oaş,Decebal aleea Crinului,3,Negrești Oaș,Satu Mare,Centrul social pentru vârstnici - cantina socială,7,B4,50,primarie@negresti-oas.ro,0261-854-845
Asociaţia de Asistenţă Socială şi Educaţie,Principală,1184,Oituz,Bacău,Centrul rezidențial casa pentru copii Maria Montini Lavezzari,1,"B1.2, B1.3, B1.4",30,casalavezzari@yahoo.com,0234-337-100
Fundaţia Casa Copilului şi Tineretului Kajanto Maria,Viilor,30,Aleşd,Bihor,Centrul de plasament de tip rezidențial,2,"b1, b2",24,, 0259/342-719
Asociaţia Acoperământul Maicii Domnului,Theodor Neculuță,1,Bacău,Bacău,Centrul rezidențial destinat persoanelor vârstnice Lumina,1,b4,24,asociatiaamd.bc2012@yahoo.com,0744-800689
Asociaţia Acoperământul Maicii Domnului,Romanului,191,Bacău,Bacău,Centrul rezidențial destinat persoanelor vârstnice Sfânta Maria,1,b4,40,asociatiaamd.bc2012@yahoo.com,0744-800689
Asociaţia Caritas Bacău,Moldovei,9,Bacău,Bacău,Cămin pentru persoane vârstnice Caritas,1,B4,12,caritasbc@yahoo.com,0234-581661
Asociaţia Româno Germană Alsterdorf,Calea Mareșal Averescu,7,Oradea,Bihor,Centrul de zi pentru persoane cu dizabilități psihice și mintale,4,"B2, B3",40,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno Germană Alsterdorf,Ecaussinnes,9,Săcueni,Bihor,Locuința maxim protejată Casa Săcueni,3,"B2, B3",10,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno Germană Alsterdorf,Călinului,1,Oradea,Bihor,Locuința moderat protejată - apartament 3,3,"B2, B3",5,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno-Germană Alsterdorf,Aleea Călinului,8,Oradea,Bihor,Locuință moderat protejată - apartament 2,3,"B2, B3",5,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno-Germană Alsterdorf,Aleea Călinului,1,Oradea,Bihor,Locuință moderat protejată - apartament 1,3,"B2, B3",5,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno-Germană Alsterdorf,Salcâmilor,20,Oradea,Bihor,Locuință moderat protejată - apartament 5,3,"B2, B3",6,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno-Germană Alsterdorf,Alexandru Cazaban,,Oradea,Bihor,Locuință moderat protejată - apartament 4,3,"B2, B3",6,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno Germană Alsterdorf,Alexandru Vlahuță,79,Oradea,Bihor,Locuință maxim protejată Casa Franz Max,3,"B2, B3",12,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno Germană Alsterdorf,Rimanoczy Kalman,40,Oradea,Bihor,Locuință maxim protejată Casa Frankfurt,3,"B2, B3",10,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Româno Germană Alsterdorf,Cadea,476,Cadea,Bihor,Centru de integrare prin terapie ocupațională Cadea,1,"B2, B3",50,office@asociatia-alsterdorf.ro,0359-412-158
Asociaţia Pentru Persoane Vârstnice si Copii în Dificultate Familia 2004,Mitropolit Ion Vancea,1,Blaj,Alba,Centrul de zi Blaj,4,B1.3,,familia.2004@yahoo.com,0258-713-641
Asociaţia Filantropia Ortodoxă Aiud,Mărășești,66,Aiud,Alba,Casa de tip familial Sfântul Ioan Botezătorul Aiud,2,"B1.2, B1.3, B1.4, B2.1",16,,0258-835-278
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bacău,Vasile Alecsandri,1,Comănești,Bacău,Centrul de recuperare și reabilitare a persoanelor cu handicap Comănești,2,"b2, b3, b4",165,office@dgaspcbacau,0234-585-071
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bacău,Căpitan Bușilă,12,Târgu Ocna,Bacău,Centrul de recuperare și reabilitare a persoanelor cu dizabilități Târgu Ocna,2,"b2, b3",65,office@dgaspcbacau,0234-585-071
Direcţia Generală de Asistenţă Socială şi Protecţia Copilului Bacău,,,Parincea,Bacău,Centrul de integrare prin terapie ocupațională Miorița Parincea,2,"b2, b3",36,office@dgaspcbacau,0234-585-071
